,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnCorpusBM25PlusConcepts,BM25,Concepts,Concepts,-,-,-,-,0.7047599999999999,0.34,0.04663519665742229,0.052000000000000005,0.0874815845043778
./results/trainedOnCorpusdoc2vec_v100_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,100,-,-,0.8544933333333333,0.6669999999999999,0.1040297532771914,0.228,0.185478538567097
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-20topics,LDA,Concepts & Relations,Concepts & Relations,20,-,-,-,0.67814,0.4873333333333333,0.09754687660702364,0.13333333333333333,0.17055964435453494
./results/trainedOnCorpustrained_cbow_v100_Sent_Cossim,Word2Vec,Sentences,Sentences,-,100,CBOW,-,0.8513133333333335,0.6503333333333333,0.09646072780630073,0.208,0.17328666628795378
./results/trainedOnCorpusdoc2vec_v300_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,300,-,-,0.7541999999999999,0.4306666666666667,0.07330865942169787,0.11600000000000002,0.13362854951749598
./results/trainedOnCorpustrained_skipGram_v300_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,300,Skip-Gram,-,0.8460799999999999,0.6829999999999999,0.09963820474167724,0.228,0.17828120859926835
./results/trainedOnCorpustfidf_UniBi_Sent,TF-IDF,Sentences,Sentences,-,-,-,Unigrams and Bigrams,0.85596,0.6703333333333333,0.099117458839155,0.224,0.17766219751659146
./results/trainedOnCorpusBM25PlusConceptsAndRelations,BM25,Concepts & Relations,Concepts & Relations,-,-,-,-,0.6933533333333333,0.34,0.046410186424845616,0.052000000000000005,0.08699714597661425
./results/trainedOnCorpustrainedLDAConceptsCossim-40topics,LDA,Concepts,Concepts,40,-,-,-,0.6809266666666666,0.6289999999999999,0.20144378219321846,0.2303333333333333,0.31090896869175577
./results/trainedOnCorpustrainedLDAConceptsCossim-80topics,LDA,Concepts,Concepts,80,-,-,-,0.6544933333333334,0.6433333333333334,0.33957525252525256,0.3623333333333333,0.4471517199204155
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-10topics,LDA,Concepts & Relations,Concepts & Relations,10,-,-,-,0.6864600000000001,0.474,0.0893312302714829,0.15200000000000002,0.15808973842280433
./results/trainedOnCorpustrainedLDAConceptsCossim-20topics,LDA,Concepts,Concepts,20,-,-,-,0.6836333333333332,0.6253333333333333,0.17170892790672035,0.20266666666666666,0.27447713521785083
./results/trainedOnCorpustrained_skipGram_v100_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,100,Skip-Gram,-,0.84804,0.6723333333333333,0.09989579977617503,0.22000000000000006,0.17873707072185774
./results/trainedOnCorpustfidf_UniBi_ConRel,TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.8667933333333332,0.7103333333333333,0.10408371746793793,0.23600000000000002,0.18585066427371089
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-40topics,LDA,Concepts & Relations,Concepts & Relations,40,-,-,-,0.5891733333333333,0.465,0.1402600786663569,0.172,0.2265799639062548
./results/trainedOnCorpustrainedLDASentCossim-80topics,LDA,Sentences,Sentences,80,-,-,-,0.8188999999999999,0.6213333333333333,0.08307782397083112,0.17999999999999994,0.15085166894727048
./results/trainedOnCorpustrained_cbow_v100_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,100,CBOW,-,0.8563200000000001,0.7096666666666667,0.0993212759600248,0.236,0.17799732424627124
./results/trainedOnCorpustfidf_BiTri_ConRel,TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.8503333333333335,0.7416666666666666,0.10570503301738124,0.264,0.1880353681178659
./results/trainedOnCorpustrained_skipGram_v100_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,100,Skip-Gram,-,0.8583866666666666,0.7616666666666666,0.10716265623933977,0.268,0.19053815915603392
./results/trainedOnCorpustfidf_UniBi_Con,TF-IDF,Concepts,Concepts,-,-,-,Unigrams and Bigrams,0.8748799999999999,0.7583333333333333,0.10520816436138526,0.256,0.18782905902442756
./results/trainedOnCorpustrained_cbow_v300_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,300,CBOW,-,0.8526466666666667,0.632,0.09734000673011907,0.204,0.17473220329498515
./results/trainedOnCorpustrainedLDASentCossim-20topics,LDA,Sentences,Sentences,20,-,-,-,0.7605533333333334,0.43333333333333335,0.06304666601048327,0.10399999999999998,0.11644087427884825
./results/trainedOnCorpusdoc2vec_v100_Con_Cossim,Doc2Vec,Concepts,Concepts,-,100,-,-,0.8386,0.6356666666666666,0.10006047624374537,0.22000000000000006,0.17878821469886938
