,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnCorpustrainedLDASentCossim-10topics,LDA,Sentences,Sentences,10,-,-,-,0.6417514498916975,0.2668584923848082,0.16878582426853395,0.224,0.26727591906916776
./results/trainedOnCorpusBM25PlusSent,BM25,Sentences,Sentences,-,-,-,-,0.5658678025002174,0.18508087904527531,0.1503039268766379,0.172,0.2375188780010649
./results/trainedOnCorpusdoc2vec_v300_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,300,-,-,0.6703717159414374,0.34721281900074474,0.2228076848345581,0.388,0.3344545785039693
./results/trainedOnCorpustrained_skipGram_v100_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,100,Skip-Gram,-,0.7008312802367911,0.393359821121431,0.2247908864636362,0.432,0.3403991183734485
./results/trainedOnCorpusdoc2vec_v300_Con_Cossim,Doc2Vec,Concepts,Concepts,-,300,-,-,0.6600920346492174,0.3479580398961204,0.2157265649875424,0.364,0.3251800938449418
./results/trainedOnCorpusdoc2vec_v200_Con_Cossim,Doc2Vec,Concepts,Concepts,-,200,-,-,0.6534528397161833,0.3342627156125608,0.21446230203491468,0.3600000000000001,0.32293710187850283
./results/trainedOnCorpusdoc2vec_v200_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,200,-,-,0.6100753252286071,0.1958298347679152,0.1679181828172647,0.19199999999999995,0.2633511435110825
./results/trainedOnCorpustrained_cbow_v300_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,300,CBOW,-,0.6953195764297623,0.3548032090028994,0.22010200498687255,0.404,0.3343623003556001
./results/trainedOnCorpustrained_cbow_v300_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,300,CBOW,-,0.6977406817571833,0.3582013121037888,0.2202212543764858,0.408,0.33477930209885404
./results/trainedOnCorpustrainedLDASentCossim-40topics,LDA,Sentences,Sentences,40,-,-,-,0.6782689505437802,0.32984294824542504,0.19329356340569048,0.29200000000000004,0.30085053062675937
./results/trainedOnCorpustrained_cbow_v100_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,100,CBOW,-,0.6939356455996705,0.36642832571625134,0.22077924773040425,0.42,0.33498216969235045
